ano,total_vinculos,ativos_31_12,ativas_femininas,ativos_masculinos
1985,28556701,20297043,6557620,13739423
1986,21246827,14498549,4898284,9600265
1987,34482827,22617787,7603478,15014309
1988,35061035,23661579,8018266,15643313
1989,35973684,24486568,8386794,16099774
1990,35393979,23198656,8196241,15002415
1991,34046330,23010793,8160874,14849919
1992,31595585,22272843,7988811,14284032
1993,32238449,23165027,8430259,14734768
1994,33585347,23667241,8736870,14930371
1995,35526390,23755736,8873723,14882013
1996,34370040,23830312,9004207,14826105
1997,34680353,24104428,9141852,14962576
1998,35005506,24489205,9406003,15083202
1999,35164287,24993052,9778997,15214055
2000,37262386,26228629,10245646,15982983
2001,39243045,27189614,10751832,16437782
2002,40927865,28683913,11418562,17265351
2003,41969162,29544927,11803983,17740944
2004,44683910,31407576,12561859,18845717
2005,47657099,33238617,13406506,19832111
2006,50701027,35155249,14289704,20865545
2007,54649133,37607430,15360991,22246439
2008,59706419,39441566,16206585,23234981
2009,61126896,41207546,17072521,24135025
2010,66747302,44068355,18315597,25752758
2011,70971125,46310631,19402272,26908359
2012,73326485,47458712,20156532,27302180
2013,75400510,48948433,20944802,28003631
2014,76107279,49571510,21437860,28133650
2015,72175102,48060807,20999112,27061695
2016,67144598,46060198,20262613,25797585
2017,65655882,46281590,20369355,25912235
2018,66214692,46631115,20546354,26084761
2019,66667417,46716492,20617992,26098500
2020,65921194,46236176,20155087,26081089
2021,70521981,48728871,21541807,27187064
2022,78488470,52790864,23346396,29444412
2023,82966522,55818007,24910146,30907861
2024,87747220,57800651,26037487,31763164
